n_comodinos,dinos_rescatados,victoria,n_turnos
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,33
4,9,False,35
4,10,True,33
4,10,True,33
4,10,True,35
4,9,False,33
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,31
4,10,True,34
4,8,False,31
4,10,True,35
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,32
4,9,False,35
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,35
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,33
4,10,True,30
4,10,True,30
4,10,True,35
4,10,True,32
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,33
4,9,False,35
4,10,True,35
4,10,True,35
4,10,True,32
4,8,False,33
4,10,True,32
4,10,True,34
4,10,True,35
4,10,True,31
4,10,True,32
4,10,True,32
4,10,True,34
4,8,False,32
4,10,True,35
4,10,True,34
4,9,False,33
4,10,True,35
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,33
4,10,True,30
4,10,True,33
4,8,False,31
4,10,True,32
4,10,True,33
4,10,True,34
4,9,False,35
4,10,True,32
4,9,False,35
4,10,True,34
4,10,True,32
4,10,True,35
4,10,True,35
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,35
4,10,True,33
4,10,True,35
4,10,True,32
4,9,False,35
4,10,True,32
4,9,False,35
4,10,True,33
4,6,False,29
4,10,True,34
4,9,False,35
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,34
4,10,True,34
4,10,True,34
4,10,True,32
4,9,False,35
4,10,True,32
4,10,True,34
4,10,True,32
4,7,False,28
4,10,True,34
4,10,True,31
4,10,True,32
4,9,False,35
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,35
4,10,True,35
4,10,True,34
4,10,True,35
4,10,True,34
4,9,False,34
4,10,True,33
4,10,True,31
4,10,True,32
4,10,True,30
4,9,False,34
4,9,False,35
4,10,True,35
4,10,True,32
4,10,True,34
4,10,True,35
4,9,False,35
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,33
4,8,False,34
4,10,True,33
4,10,True,35
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,32
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,35
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,35
4,10,True,30
4,10,True,32
4,10,True,31
4,10,True,31
4,9,False,32
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,35
4,10,True,33
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,33
4,10,True,35
4,10,True,35
4,6,False,29
4,10,True,32
4,10,True,32
4,7,False,30
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,34
4,10,True,30
4,10,True,33
4,10,True,32
4,10,True,33
4,9,False,34
4,10,True,33
4,10,True,35
4,10,True,33
4,10,True,34
4,10,True,35
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,31
4,10,True,34
4,10,True,33
4,5,False,24
4,10,True,33
4,10,True,33
4,10,True,33
4,10,True,30
4,8,False,33
4,10,True,33
4,10,True,34
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,31
4,10,True,30
4,10,True,34
4,10,True,35
4,10,True,30
4,10,True,33
4,10,True,33
4,10,True,31
4,9,False,35
4,10,True,31
4,10,True,35
4,10,True,32
4,10,True,34
4,10,True,35
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,33
4,10,True,31
4,10,True,35
4,10,True,31
4,10,True,32
4,10,True,35
4,10,True,32
4,10,True,31
4,10,True,31
4,10,True,34
4,10,True,33
4,10,True,30
4,10,True,35
4,10,True,32
4,9,False,34
4,10,True,34
4,10,True,35
4,10,True,31
4,9,False,34
4,10,True,30
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,33
4,7,False,27
4,9,False,35
4,10,True,34
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,30
4,10,True,35
4,10,True,34
4,10,True,35
4,10,True,31
4,9,False,34
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,30
4,10,True,32
4,10,True,30
4,7,False,32
4,10,True,30
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,32
4,7,False,31
4,10,True,30
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,31
4,10,True,33
4,10,True,32
4,9,False,35
4,10,True,31
4,10,True,32
4,10,True,34
4,9,False,35
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,35
4,6,False,24
4,10,True,35
4,9,False,35
4,10,True,33
4,10,True,33
4,10,True,33
4,10,True,35
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,30
4,10,True,34
4,8,False,32
4,10,True,32
4,10,True,30
4,10,True,34
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,31
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,35
4,9,False,34
4,10,True,33
4,10,True,33
4,10,True,34
4,9,False,35
4,8,False,32
4,10,True,34
4,10,True,35
4,10,True,32
4,10,True,32
4,10,True,30
4,8,False,32
4,10,True,31
4,9,False,33
4,10,True,31
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,31
4,9,False,33
4,7,False,29
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,30
4,10,True,35
4,9,False,35
4,10,True,30
4,10,True,34
4,6,False,23
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,32
4,9,False,35
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,32
4,10,True,35
4,7,False,29
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,34
4,8,False,33
4,10,True,31
4,10,True,34
4,9,False,34
4,10,True,35
4,10,True,33
4,10,True,33
4,9,False,35
4,9,False,35
4,10,True,34
4,10,True,35
4,9,False,35
4,8,False,32
4,10,True,33
4,10,True,32
4,10,True,30
4,10,True,31
4,10,True,35
4,10,True,32
4,10,True,31
4,10,True,31
4,9,False,35
4,10,True,31
4,10,True,32
4,10,True,33
4,7,False,30
4,10,True,32
4,10,True,32
4,8,False,31
4,10,True,35
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,32
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,33
4,9,False,34
4,9,False,35
4,10,True,31
4,10,True,32
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,34
4,9,False,35
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,32
4,8,False,31
4,10,True,32
4,10,True,32
4,10,True,35
4,10,True,32
4,10,True,33
4,8,False,34
4,10,True,33
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,35
4,10,True,34
4,10,True,34
4,9,False,35
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,35
4,10,True,30
4,10,True,31
4,10,True,32
4,10,True,35
4,8,False,33
4,9,False,34
4,10,True,32
4,9,False,35
4,9,False,35
4,9,False,35
4,10,True,31
4,10,True,33
4,10,True,31
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,35
4,10,True,32
4,10,True,31
4,10,True,31
4,10,True,32
4,9,False,34
4,10,True,34
4,10,True,32
4,10,True,34
4,8,False,32
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,32
4,8,False,33
4,9,False,34
4,10,True,30
4,10,True,35
4,10,True,33
4,10,True,35
4,10,True,30
4,8,False,32
4,10,True,34
4,10,True,31
4,10,True,34
4,10,True,30
4,10,True,34
4,10,True,34
4,10,True,35
4,10,True,34
4,8,False,33
4,9,False,35
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,30
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,34
4,10,True,35
4,10,True,35
4,10,True,33
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,35
4,8,False,32
4,10,True,34
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,30
4,10,True,35
4,10,True,34
4,9,False,35
4,10,True,33
4,10,True,31
4,10,True,35
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,32
4,7,False,28
4,10,True,34
4,9,False,35
4,9,False,35
4,10,True,33
4,10,True,31
4,10,True,31
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,34
4,10,True,35
4,10,True,33
4,10,True,31
4,10,True,34
4,10,True,34
4,8,False,33
4,10,True,31
4,10,True,31
4,10,True,31
4,5,False,21
4,10,True,34
4,10,True,32
4,10,True,35
4,9,False,35
4,10,True,35
4,5,False,22
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,31
4,10,True,31
4,9,False,34
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,33
4,9,False,34
4,10,True,34
4,10,True,30
4,10,True,31
4,8,False,32
4,10,True,33
4,10,True,35
4,10,True,32
4,9,False,35
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,32
4,10,True,34
4,8,False,31
4,10,True,34
4,10,True,35
4,10,True,35
4,9,False,34
4,8,False,34
4,10,True,35
4,9,False,34
4,10,True,31
4,10,True,34
4,10,True,35
4,10,True,33
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,35
4,10,True,34
4,10,True,31
4,10,True,34
4,9,False,35
4,9,False,35
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,31
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,35
4,10,True,32
4,10,True,33
4,10,True,33
4,2,False,16
4,10,True,33
4,8,False,31
4,9,False,34
4,10,True,32
4,10,True,32
4,8,False,33
4,10,True,34
4,10,True,35
4,10,True,30
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,32
4,9,False,35
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,33
4,10,True,35
4,10,True,32
4,8,False,33
4,10,True,35
4,10,True,34
4,10,True,30
4,10,True,35
4,10,True,31
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,30
4,10,True,33
4,9,False,35
4,10,True,33
4,10,True,35
4,10,True,35
4,10,True,32
4,10,True,35
4,8,False,31
4,10,True,31
4,10,True,31
4,10,True,32
4,10,True,35
4,10,True,32
4,7,False,29
4,10,True,34
4,8,False,30
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,31
4,9,False,35
4,9,False,35
4,9,False,35
4,10,True,31
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,33
4,9,False,34
4,10,True,32
4,8,False,33
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,32
4,6,False,27
4,10,True,34
4,10,True,35
4,10,True,35
4,10,True,34
4,10,True,31
4,9,False,34
4,6,False,24
4,8,False,31
4,10,True,33
4,10,True,31
4,9,False,33
4,10,True,32
4,10,True,34
4,8,False,32
4,9,False,35
4,10,True,34
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,32
4,10,True,32
4,9,False,35
4,10,True,33
4,9,False,33
4,10,True,32
4,10,True,34
4,10,True,30
4,10,True,32
4,10,True,31
4,9,False,35
4,9,False,35
4,9,False,35
4,10,True,35
4,10,True,32
4,10,True,33
4,4,False,19
4,10,True,35
4,9,False,34
4,10,True,31
4,10,True,35
4,10,True,35
4,10,True,34
4,6,False,26
4,10,True,35
4,10,True,33
4,10,True,32
4,8,False,32
4,10,True,34
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,31
4,10,True,32
4,10,True,33
4,9,False,34
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,31
4,8,False,34
4,10,True,32
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,33
4,10,True,32
4,8,False,32
4,9,False,35
4,10,True,33
4,10,True,31
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,30
4,10,True,33
4,10,True,35
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,34
4,9,False,35
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,34
4,7,False,28
4,10,True,34
4,10,True,35
4,10,True,35
4,10,True,34
4,10,True,33
4,10,True,33
4,9,False,34
4,9,False,34
4,10,True,32
4,10,True,35
4,10,True,31
4,10,True,35
4,10,True,31
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,31
4,10,True,33
4,9,False,33
4,10,True,30
4,10,True,32
4,10,True,31
4,8,False,32
4,9,False,34
4,10,True,31
4,10,True,31
4,10,True,31
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,34
4,9,False,35
4,10,True,35
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,35
4,10,True,31
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,34
4,9,False,35
4,10,True,34
4,10,True,34
4,10,True,34
4,10,True,31
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,33
4,8,False,33
4,10,True,33
4,10,True,34
4,10,True,31
4,9,False,35
4,10,True,32
4,8,False,33
4,6,False,27
4,10,True,31
4,10,True,31
4,10,True,34
4,9,False,34
4,10,True,35
4,10,True,31
4,10,True,31
4,10,True,31
4,9,False,35
4,10,True,31
4,10,True,31
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,30
4,10,True,33
4,8,False,31
4,10,True,33
4,10,True,31
4,10,True,35
4,10,True,33
4,10,True,33
4,10,True,34
4,9,False,34
4,10,True,32
4,10,True,30
4,10,True,34
4,9,False,35
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,30
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,35
4,10,True,31
4,10,True,31
4,10,True,34
4,9,False,34
4,9,False,35
4,10,True,33
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,35
4,8,False,33
4,10,True,35
4,9,False,35
4,10,True,30
4,10,True,34
4,10,True,33
4,8,False,34
4,10,True,31
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,34
4,10,True,35
4,10,True,33
4,10,True,35
4,10,True,31
4,10,True,32
4,10,True,31
4,8,False,31
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,33
4,9,False,35
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,32
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,35
4,10,True,30
4,10,True,30
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,31
4,10,True,35
4,10,True,33
4,10,True,31
4,10,True,32
4,10,True,31
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,34
4,5,False,25
4,8,False,32
4,10,True,35
4,10,True,33
4,7,False,27
4,10,True,35
4,8,False,28
4,10,True,32
4,9,False,35
4,9,False,35
4,10,True,34
4,10,True,31
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,34
4,8,False,33
4,10,True,32
4,8,False,32
4,10,True,31
4,10,True,32
4,10,True,32
4,8,False,31
4,3,False,19
4,10,True,33
4,10,True,34
4,10,True,33
4,10,True,35
4,10,True,33
4,10,True,35
4,10,True,33
4,10,True,33
4,10,True,31
4,10,True,35
4,8,False,33
4,8,False,32
4,10,True,31
4,7,False,26
4,10,True,34
4,10,True,35
4,10,True,33
4,10,True,35
4,10,True,34
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,32
4,9,False,35
4,10,True,34
4,10,True,35
4,10,True,31
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,35
4,10,True,30
4,10,True,30
4,10,True,31
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,31
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,34
4,10,True,32
4,10,True,35
4,8,False,33
4,10,True,30
4,9,False,35
4,10,True,34
4,9,False,35
4,10,True,30
4,10,True,34
4,10,True,34
4,10,True,35
4,10,True,35
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,34
4,9,False,34
4,10,True,33
4,9,False,35
4,10,True,34
4,10,True,35
4,10,True,34
4,9,False,34
4,10,True,33
4,10,True,34
4,10,True,35
4,10,True,33
4,9,False,35
4,9,False,33
4,10,True,33
4,10,True,35
4,9,False,35
4,10,True,33
4,10,True,33
4,5,False,24
4,10,True,31
4,6,False,27
4,10,True,34
4,10,True,31
4,10,True,31
4,10,True,34
4,10,True,35
4,10,True,35
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,31
4,10,True,35
4,9,False,35
4,9,False,35
4,10,True,33
4,10,True,33
4,10,True,33
4,8,False,33
4,9,False,34
4,10,True,33
4,10,True,33
4,10,True,31
4,6,False,26
4,10,True,34
4,10,True,30
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,35
4,10,True,33
4,10,True,35
4,10,True,33
4,9,False,35
4,10,True,32
4,10,True,34
4,10,True,30
4,10,True,33
4,10,True,33
4,10,True,35
4,10,True,32
4,10,True,33
4,7,False,28
4,10,True,31
4,10,True,31
4,9,False,34
4,10,True,33
4,10,True,35
4,10,True,33
4,10,True,34
4,10,True,31
4,9,False,35
4,10,True,33
4,10,True,31
4,9,False,34
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,32
4,10,True,35
4,10,True,35
4,10,True,31
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,35
4,10,True,34
4,9,False,35
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,33
4,9,False,35
4,10,True,32
4,10,True,35
4,10,True,33
4,9,False,35
4,10,True,30
4,10,True,35
4,10,True,32
4,10,True,32
4,10,True,35
4,9,False,35
4,10,True,35
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,31
4,10,True,35
4,10,True,30
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,33
4,8,False,30
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,31
4,10,True,32
4,5,False,24
4,10,True,30
4,10,True,35
4,10,True,30
4,10,True,30
4,4,False,21
4,10,True,30
4,7,False,31
4,10,True,30
4,10,True,35
4,10,True,35
4,10,True,34
4,10,True,35
4,10,True,33
4,8,False,33
4,10,True,33
4,10,True,34
4,10,True,32
4,9,False,35
4,9,False,35
4,10,True,32
4,10,True,32
4,8,False,33
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,31
4,10,True,32
4,10,True,31
4,9,False,35
4,9,False,35
4,10,True,33
4,10,True,31
4,10,True,33
4,8,False,31
4,10,True,33
4,10,True,34
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,30
4,10,True,33
4,6,False,27
4,10,True,33
4,10,True,34
4,9,False,35
4,10,True,33
4,10,True,32
4,10,True,30
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,33
4,9,False,35
4,9,False,34
4,10,True,31
4,10,True,34
4,10,True,32
4,10,True,31
4,10,True,32
4,8,False,32
4,10,True,31
4,9,False,34
4,10,True,33
4,10,True,33
4,10,True,33
4,10,True,33
4,10,True,32
4,9,False,35
4,10,True,30
4,9,False,35
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,33
4,10,True,34
4,9,False,34
4,10,True,31
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,30
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,33
4,10,True,34
4,9,False,34
4,10,True,33
4,6,False,27
4,10,True,33
4,9,False,35
4,7,False,29
4,10,True,31
4,10,True,35
4,10,True,34
4,10,True,33
4,7,False,30
4,10,True,34
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,30
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,31
4,10,True,33
4,9,False,35
4,9,False,35
4,10,True,33
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,34
4,10,True,35
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,31
4,10,True,31
4,9,False,35
4,10,True,34
4,10,True,34
4,10,True,31
4,10,True,34
4,9,False,35
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,31
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,35
4,10,True,33
4,10,True,35
4,8,False,33
4,10,True,35
4,8,False,30
4,9,False,35
4,10,True,35
4,10,True,31
4,10,True,33
4,10,True,31
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,33
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,31
4,7,False,30
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,34
4,9,False,35
4,8,False,33
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,30
4,10,True,34
4,10,True,31
4,10,True,34
4,10,True,30
4,10,True,32
4,10,True,32
4,10,True,34
4,10,True,33
4,9,False,35
4,9,False,35
4,10,True,32
4,10,True,30
4,10,True,30
4,10,True,33
4,10,True,32
4,10,True,34
4,9,False,35
4,10,True,35
4,10,True,32
4,9,False,35
4,1,False,12
4,9,False,35
4,10,True,34
4,9,False,35
4,10,True,30
4,10,True,31
4,10,True,34
4,10,True,31
4,10,True,35
4,10,True,35
4,10,True,35
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,33
4,9,False,35
4,10,True,35
4,9,False,35
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,35
4,9,False,35
4,10,True,30
4,10,True,32
4,10,True,30
4,10,True,34
4,10,True,35
4,9,False,35
4,10,True,34
4,10,True,33
4,10,True,31
4,10,True,30
4,10,True,30
4,10,True,32
4,10,True,32
4,10,True,35
4,9,False,35
4,7,False,28
4,10,True,33
4,10,True,32
4,9,False,35
4,10,True,31
4,10,True,35
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,33
4,9,False,35
4,10,True,34
4,6,False,27
4,8,False,33
4,10,True,31
4,10,True,33
4,8,False,33
4,9,False,33
4,10,True,33
4,10,True,33
4,10,True,33
4,10,True,35
4,8,False,29
4,10,True,33
4,10,True,34
4,10,True,32
4,8,False,31
4,10,True,33
4,10,True,31
4,10,True,35
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,31
4,10,True,33
4,10,True,34
4,10,True,32
4,7,False,31
4,10,True,33
4,10,True,31
4,10,True,34
4,8,False,32
4,10,True,31
4,9,False,34
4,10,True,32
4,10,True,32
4,9,False,35
4,10,True,35
4,10,True,30
4,10,True,34
4,10,True,33
4,10,True,31
4,6,False,28
4,10,True,33
4,10,True,34
4,10,True,32
4,10,True,31
4,10,True,32
4,9,False,35
4,10,True,33
4,10,True,35
4,9,False,34
4,10,True,34
4,10,True,31
4,10,True,32
4,10,True,35
4,9,False,35
4,9,False,35
4,10,True,34
4,10,True,34
4,9,False,34
4,7,False,29
4,10,True,30
4,10,True,33
4,10,True,30
4,10,True,31
4,10,True,33
4,10,True,32
4,10,True,33
4,9,False,35
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,34
4,10,True,33
4,10,True,32
4,10,True,33
4,9,False,34
4,10,True,34
4,10,True,35
4,10,True,32
4,10,True,34
4,10,True,31
4,9,False,35
4,5,False,22
4,10,True,31
4,10,True,32
4,10,True,34
4,10,True,33
4,10,True,34
4,9,False,34
4,10,True,32
4,9,False,35
4,8,False,33
4,10,True,34
4,10,True,35
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,33
4,10,True,33
4,10,True,34
4,10,True,31
4,10,True,32
4,10,True,35
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,33
4,10,True,32
4,10,True,33
4,9,False,35
4,10,True,35
4,10,True,35
4,10,True,31
4,10,True,32
4,9,False,34
4,9,False,35
4,10,True,31
4,10,True,35
4,10,True,32
4,10,True,32
4,10,True,33
4,4,False,25
4,10,True,34
4,10,True,33
4,9,False,35
4,10,True,34
4,10,True,35
4,10,True,33
4,9,False,35
4,10,True,34
4,10,True,33
4,10,True,34
4,10,True,34
4,10,True,32
4,10,True,32
4,10,True,30
4,10,True,31
4,10,True,33
4,10,True,33
4,8,False,31
4,10,True,33
4,10,True,32
4,9,False,35
4,10,True,35
4,10,True,34
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,33
4,10,True,30
4,10,True,34
4,10,True,35
4,10,True,35
4,9,False,34
4,9,False,34
4,10,True,32
4,10,True,33
4,10,True,31
4,10,True,35
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,32
4,10,True,31
4,10,True,32
4,10,True,31
4,10,True,33
4,8,False,31
4,10,True,33
4,10,True,33
4,10,True,32
4,8,False,33
4,10,True,33
4,10,True,30
4,10,True,31
4,9,False,33
4,9,False,35
4,10,True,34
4,10,True,35
4,10,True,33
4,10,True,32
4,10,True,34
4,10,True,35
4,10,True,32
4,6,False,26
4,10,True,31
4,10,True,32
4,10,True,33
4,10,True,35
4,10,True,33
4,10,True,32
4,8,False,33
4,10,True,34
4,10,True,35
4,10,True,32
4,8,False,33
4,9,False,35
4,10,True,32
4,10,True,31
4,9,False,33
4,10,True,35
4,9,False,35
4,10,True,32
4,10,True,33
4,9,False,34
4,10,True,33
4,10,True,32
4,10,True,31
4,10,True,33
4,10,True,30
4,10,True,33
4,10,True,33
4,10,True,35
4,10,True,35
4,10,True,31
4,10,True,31
4,10,True,31
4,10,True,35
4,10,True,31
4,10,True,33
4,10,True,31
4,10,True,31
4,10,True,33
